R;1;;10;N;36;454
R;2;;10;N;69;420
R;3;;10;N;281;376
R;4;;10;N;307;436
R;5;;10;N;82;474
R;6;;10;N;160;463
R;7;;10;N;310;517
R;8;;10;N;272;493
R;9;;10;N;225;560
R;10;;10;N;365;362
R;11;;10;N;384;433
R;12;;10;N;383;515
R;13;;10;N;358;577
R;14;;10;N;403;457
R;15;;10;N;408;482
R;16;;10;N;442;411
R;17;;10;N;493;347
R;18;;10;N;448;481
R;19;;10;N;386;380
R;20;;10;N;493;408
R;21;;10;N;465;544
R;22;;10;Y;3;520
R;23;;10;N;120;329
R;24;;10;N;347;483
R;25;;10;Y;386;250
R;26;;10;Y;567;397
R;27;;10;Y;528;535

R;29;;10;Y;311;661
R;30;;10;Y;422;643

C;31;5;10;N
C;32;10;10;N
C;33;5;10;N
C;34;5;10;N
C;35;5;10;N
C;36;5;10;N
C;37;5;10;N
C;38;5;10;N
C;39;5;10;N
C;40;5;10;N
C;41;5;10;N
C;42;5;10;N


Connections
L;1;31
L;2;31
L;5;31
L;22;31
L;23;32
L;2;32
L;3;32
L;6;32
L;4;32
L;4;33
L;11;33
L;10;33
L;9;34
L;7;34
L;29;34
L;4;35
L;8;35
L;7;35
L;24;35
L;7;36
L;13;36
L;12;36
L;11;37
L;12;37
L;14;37
L;14;37
L;19;38
L;11;38
L;19;39
L;25;39
L;17;40
L;16;40
L;20;40
L;26;40
L;19;40
L;12;41
L;30;41
L;18;42
L;21;42
L;27;42
L;12;42











